Label,X,Y,Z
NzHS,,,
IzHS,,,
ARHS,,,
ALHS,,,
Fp1HS,,,
Fp2HS,115.6000781,-43.10003906,-109.1000781
FzHS,172.1001563,-16.80000977,-143.3000781
F3HS,149.6000781,29,-128.8000781
F4HS,153.1000781,-58.30003906,-124.7000781
F7HS,144.1000781,56,-88.30007813
F8HS,142.9000781,-79.30003906,-80.30003906
CzHS,237,-18.5,-126.2000781
C3HS,219.8001563,43.20003906,-110.1000781
C4HS,218.7001563,-75.80003906,-101.6000781
T3HS,182.6001563,68.30003906,-56.10003906
T4HS,182.7001563,-91.40007813,-44.5
PzHS,273.4001563,-16.80000977,-73.10003906
P3HS,264.5,27.90001953,-50.40003906
P4HS,265.2001563,-56.70003906,-42.80003906
T5HS,225.5,53.10003906,-29.90001953
T6HS,224.7001563,-77.60003906,-16.70000977
O1HS,,,
O2HS,,,
